fecha,departamento,net,iar_keiko,iar_sanchez
2026-05-22,LIMA,0.16,58,42
2026-05-22,CALLAO,0.14,57,43
2026-05-22,PIURA,0.34,67,33
2026-05-22,LAMBAYEQUE,0.34,67,33
2026-05-22,TUMBES,0.39,70,30
2026-05-22,LA LIBERTAD,0.16,58,42
2026-05-22,ICA,0.24,62,38
2026-05-22,LORETO,0.29,64,36
2026-05-22,UCAYALI,0.29,64,36
2026-05-22,SAN MARTIN,0.16,58,42
2026-05-22,MADRE DE DIOS,0.14,57,43
2026-05-22,AMAZONAS,0.09,54,46
2026-05-22,CAJAMARCA,-0.1,45,55
2026-05-22,ANCASH,-0.01,50,50
2026-05-22,HUANUCO,-0.07,46,54
2026-05-22,JUNIN,-0.02,49,51
2026-05-22,PASCO,-0.07,46,54
2026-05-22,HUANCAVELICA,-0.27,36,64
2026-05-22,AYACUCHO,-0.32,34,66
2026-05-22,APURIMAC,-0.32,34,66
2026-05-22,AREQUIPA,-0.07,46,54
2026-05-22,CUSCO,-0.37,32,68
2026-05-22,PUNO,-0.42,29,71
2026-05-22,MOQUEGUA,-0.12,44,56
2026-05-22,TACNA,-0.22,39,61
2026-06-01,LIMA,0.12,56,44
2026-06-01,CALLAO,0.10,55,45
2026-06-01,PIURA,0.30,65,35
2026-06-01,LAMBAYEQUE,0.30,65,35
2026-06-01,TUMBES,0.35,68,32
2026-06-01,LA LIBERTAD,0.12,56,44
2026-06-01,ICA,0.20,60,40
2026-06-01,LORETO,0.25,62,38
2026-06-01,UCAYALI,0.25,62,38
2026-06-01,SAN MARTIN,0.12,56,44
2026-06-01,MADRE DE DIOS,0.10,55,45
2026-06-01,AMAZONAS,0.05,52,48
2026-06-01,CAJAMARCA,-0.18,41,59
2026-06-01,ANCASH,-0.05,48,52
2026-06-01,HUANUCO,-0.15,42,58
2026-06-01,JUNIN,-0.10,45,55
2026-06-01,PASCO,-0.15,42,58
2026-06-01,HUANCAVELICA,-0.35,32,68
2026-06-01,AYACUCHO,-0.40,30,70
2026-06-01,APURIMAC,-0.40,30,70
2026-06-01,AREQUIPA,-0.15,42,58
2026-06-01,CUSCO,-0.45,28,72
2026-06-01,PUNO,-0.50,25,75
2026-06-01,MOQUEGUA,-0.20,40,60
2026-06-01,TACNA,-0.30,35,65
2026-06-02,LIMA,0.11,56,44
2026-06-02,CALLAO,0.10,55,45
2026-06-02,PIURA,0.30,65,35
2026-06-02,LAMBAYEQUE,0.30,65,35
2026-06-02,TUMBES,0.35,68,32
2026-06-02,LA LIBERTAD,0.10,55,45
2026-06-02,ICA,0.20,60,40
2026-06-02,LORETO,0.25,62,38
2026-06-02,UCAYALI,0.25,62,38
2026-06-02,SAN MARTIN,0.12,56,44
2026-06-02,MADRE DE DIOS,0.10,55,45
2026-06-02,AMAZONAS,0.05,52,48
2026-06-02,CAJAMARCA,-0.18,41,59
2026-06-02,ANCASH,-0.05,48,52
2026-06-02,HUANUCO,-0.15,42,58
2026-06-02,JUNIN,-0.12,44,56
2026-06-02,PASCO,-0.15,42,58
2026-06-02,HUANCAVELICA,-0.35,32,68
2026-06-02,AYACUCHO,-0.40,30,70
2026-06-02,APURIMAC,-0.40,30,70
2026-06-02,AREQUIPA,-0.18,41,59
2026-06-02,CUSCO,-0.45,28,72
2026-06-02,PUNO,-0.50,25,75
2026-06-02,MOQUEGUA,-0.20,40,60
2026-06-02,TACNA,-0.30,35,65
