departamento,iar_keiko,iar_sanchez,net,cobertura,fuente
LIMA,58,42,0.16,dedicada,Ipsos 52.2% Keiko Lima válidos; cierre campaña Lima 5-jun; CPI 45.6 vs 19.7
CALLAO,56,44,0.13,dedicada,Keiko ganó Callao 1ra vuelta; cierre Lima consolida norte costero
TUMBES,68,32,0.35,dedicada,Keiko ganó 1ra v. 33.96% (su zona más fuerte)
PIURA,66,34,0.31,dedicada,Keiko ganó 1ra v. 27.97%; gira costa norte FP hasta Piura 4-5-jun
LAMBAYEQUE,65,35,0.30,dedicada,Keiko mitin cierre Túcume 5-jun; promete represa e irrigación Lambayeque
LA LIBERTAD,55,45,0.10,dedicada,Keiko ganó 1ra v. pero bisagra disputada
ICA,60,40,0.20,dedicada,Keiko ganó 1ra v. 20.3%
LORETO,62,38,0.23,dedicada,Keiko ganó 1ra v. 28.13%; recorrió Roaboya-Mestiza Loreto en campaña 2da v.
UCAYALI,60,40,0.20,dedicada,Keiko ganó 1ra v. 29.53%; Sánchez rally Pucallpa activo (mejor resultado Ucayali)
ANCASH,53,47,0.06,dedicada,Keiko ganó 1ra v. estrecho; bisagra
PASCO,52,48,0.05,dedicada,Keiko ganó Pasco en 1ra v.; sierra centro disputada
JUNIN,46,54,-0.08,dedicada,Keiko ganó 1ra v. estrecho pero 2da v. CPI Sánchez 44-34; bisagra
CAJAMARCA,40,60,-0.20,dedicada,Sánchez ganó 1ra v. (sierra norte)
AMAZONAS,40,60,-0.20,dedicada,Sánchez ganó 1ra v. 36.25% vs Keiko 17.36%
HUANUCO,38,62,-0.25,dedicada,Sánchez ganó 1ra v. casi el doble que Keiko
SAN MARTIN,47,53,-0.06,dedicada,Sánchez ganó 1ra v. muy estrecho (93.3k vs 90.7k); bisagra
MADRE DE DIOS,42,58,-0.15,dedicada,Sánchez ganó 1ra v. 23.36%
HUANCAVELICA,30,70,-0.40,dedicada,Sánchez ganó 1ra v. 43.43% (de sus más altos)
AYACUCHO,31,69,-0.38,dedicada,Sánchez ganó 1ra v. 31.33%
APURIMAC,29,71,-0.42,dedicada,Sánchez ganó 1ra v. 40.98%
AREQUIPA,40,60,-0.20,dedicada,Keiko nunca ganó Arequipa; gira sur Sánchez activa; sin recuperación FP
CUSCO,26,74,-0.47,dedicada,Mitin Sánchez Cusco 2-jun; promesas Gasoducto Sur y Chinchero; bastión
PUNO,23,77,-0.54,dedicada,Cierre sur andino Sánchez Puno 3-jun; hermano P.Castillo y J.D.Pérez presentes
MOQUEGUA,35,65,-0.30,dedicada,Keiko apenas 6.63% en 1ra v.; fuerte anti-FP
TACNA,35,65,-0.30,dedicada,Belmont ganó 1ra v.; sur anti-FP; Keiko nunca ganó Tacna
