partido,bloque,keiko_base,sanchez_base,null_base,fuente
FUERZA POPULAR,derecha-fujimorismo,100,0,0,finalista
JUNTOS POR EL PERÚ,izquierda,0,100,0,finalista
RENOVACIÓN POPULAR,derecha,62,18,20,Ipsos may-2026 (cruce voto 1ra vuelta); López Aliaga endosó a Keiko
PARTIDO DEL BUEN GOBIERNO,centro,33,31,36,Ipsos may-2026 (cruce voto 1ra vuelta)
PARTIDO CÍVICO OBRAS,derecha-populista,14,52,34,Ipsos may-2026 (cruce voto 1ra vuelta)
PARTIDO PAÍS PARA TODOS,derecha-populista,47,30,23,Ipsos may-2026 (cruce voto 1ra vuelta); partido no endosa
AHORA NACIÓN - AN,centro-izquierda,16,63,21,Ipsos may-2026 (cruce voto 1ra vuelta); partido endosó a Sánchez
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",centro,15,30,55,Pérez Tello llamó a votar nulo (heurística)
PARTIDO SICREO,otros,30,30,40,heurística por bloque
PARTIDO FRENTE DE LA ESPERANZA 2021,centro,20,38,42,heurística (Olivera, anti-fujimorismo histórico)
PODEMOS PERÚ,derecha-populista,50,22,28,heurística por bloque
PARTIDO POLÍTICO COOPERACIÓN POPULAR,centro-derecha,40,25,35,heurística por bloque
ALIANZA PARA EL PROGRESO,centro-derecha,48,22,30,heurística por bloque (Acuña)
PARTIDO APRISTA PERUANO,centro,30,33,37,heurística por bloque (APRA)
PARTIDO DEMOCRÁTICO SOMOS PERÚ,centro,33,30,37,heurística por bloque
PARTIDO PATRIÓTICO DEL PERÚ,otros,30,30,40,heurística por bloque
PARTIDO POLÍTICO PERÚ PRIMERO,centro,20,45,35,heurística (Vizcarra, anti-fujimorismo)
ALIANZA ELECTORAL VENCEREMOS,izquierda,6,72,22,heurística por bloque (Mendoza)
UN CAMINO DIFERENTE,otros,30,30,40,heurística por bloque
PARTIDO DEMÓCRATA UNIDO PERÚ,otros,30,30,40,heurística por bloque
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,izquierda,6,70,24,heurística por bloque (Cerrón)
PARTIDO MORADO,centro-izquierda,18,42,40,heurística por bloque (liberal anti-fujimorismo)
UNIDAD NACIONAL,centro-derecha,45,22,33,heurística por bloque
PROGRESEMOS,otros,30,30,40,heurística por bloque
PARTIDO DEMÓCRATA VERDE,centro-izquierda,22,40,38,heurística por bloque (ecologista)
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,otros,30,30,40,heurística por bloque
LIBERTAD POPULAR,derecha,50,20,30,heurística por bloque (liberal)
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,derecha,55,18,27,heurística por bloque
PARTIDO POLÍTICO PERÚ ACCIÓN,otros,30,30,40,heurística por bloque
FUERZA Y LIBERTAD,centro-derecha,40,28,32,heurística por bloque
FE EN EL PERÚ,otros,30,30,40,heurística por bloque
PARTIDO DEMOCRATICO FEDERAL,otros,30,30,40,heurística por bloque
SALVEMOS AL PERÚ,derecha,40,25,35,heurística por bloque
PARTIDO POLÍTICO PRIN,otros,30,30,40,heurística por bloque
PERÚ MODERNO,otros,30,30,40,heurística por bloque
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,otros,30,30,40,heurística por bloque
